	Diets	Size_Class	Home_Range	Activity	Schooling	Level_water
11853	PK	S2	Sed	Day	LargeG	High
11854	PK	S2	Sed	Day	MedG	Low
11856	PK	S2	Sed	Day	SmallG	Bottom
11857	PK	S3	Mob	Day	MedG	High
11858	PK	S2	Sed	Day	MedG	Low
11859	PK	S2	Sed	Day	MedG	High
11860	PK	S2	Sed	Day	MedG	Low
11861	PK	S2	Sed	Day	MedG	Low
11862	PK	S2	Sed	Day	MedG	Low
11863	PK	S2	Sed	Day	MedG	Low
11865	PK	S3	Sed	Day	MedG	High
11866	PK	S1	Sed	Day	MedG	Low
11868	PK	S2	Mob	Day	LargeG	High
11869	PK	S2	Sed	Day	MedG	High
11870	PK	S4	Mob	Day	SmallG	Low
11872	IM	S3	Mob	Day	SmallG	Bottom
11910	IM	S4	Sed	Both	Sol	Bottom
1195	OM	S3	Mob	Day	Sol	Low
11959	PK	S2	Sed	Day	SmallG	Bottom
11966	OM	S2	Sed	Day	SmallG	Bottom
11968	OM	S2	Sed	Day	SmallG	Bottom
11969	OM	S1	Sed	Day	SmallG	Bottom
1197	IM	S5	Mob	Both	SmallG	Low
11972	PK	S2	Sed	Day	MedG	Bottom
11979	FC	S6	VMob	Both	SmallG	Low
11985	PK	S1	Sed	Day	MedG	Bottom
11988	OM	S3	Sed	Day	SmallG	Bottom
1199	IM	S4	Mob	Both	SmallG	Low
11994	IM	S5	VMob	Both	SmallG	Bottom
11998	IM	S3	VMob	Both	Sol	Bottom
12	IM	S4	Mob	Day	Sol	Bottom
120	FC	S6	VMob	Day	SmallG	High
1200	IM	S4	Sed	Both	Sol	Bottom
12004	IM	S5	Mob	Night	MedG	Low
1201	IM	S4	Sed	Both	Sol	Bottom
12015	PK	S2	Mob	Night	SmallG	High
12023	HD	S3	Mob	Day	SmallG	Bottom
12024	IM	S3	Sed	Night	Sol	Bottom
12027	IM	S3	Sed	Night	Sol	Bottom
12028	IM	S3	Sed	Night	Sol	Bottom
12029	IM	S4	Sed	Night	Sol	Bottom
1203	IM	S4	Mob	Day	Sol	Bottom
12030	IM	S3	Sed	Night	Sol	Bottom
12031	FC	S3	Mob	Both	Sol	Bottom
1204	IM	S6	Mob	Day	Sol	Bottom
12043	IM	S2	Sed	Night	Sol	Bottom
1205	IM	S6	Mob	Day	Sol	Bottom
1206	FC	S6	Mob	Both	Sol	Bottom
1207	IM	S6	Mob	Day	Sol	Bottom
1208	IM	S6	Mob	Day	Sol	Bottom
12080	FC	S3	Sed	Night	Sol	Bottom
12085	FC	S2	Sed	Night	Sol	Bottom
12086	IM	S3	Sed	Night	Sol	Bottom
12088	IM	S3	Sed	Night	Sol	Bottom
1209	FC	S6	Mob	Day	Sol	Bottom
12092	IM	S6	VMob	Night	MedG	Bottom
12097	IM	S6	VMob	Night	MedG	Bottom
121	FC	S6	VMob	Both	SmallG	High
1210	FC	S6	Mob	Day	Sol	Bottom
1211	FC	S6	Mob	Day	Sol	Bottom
1212	FC	S6	Mob	Day	Sol	Bottom
12128	FC	S6	Sed	Day	Sol	Bottom
1213	FC	S6	Mob	Day	Sol	Bottom
12130	IM	S2	Sed	Day	SmallG	Bottom
12131	IM	S2	Sed	Day	SmallG	Bottom
12132	IM	S1	Sed	Day	Sol	Bottom
12133	IM	S1	Sed	Day	Sol	Bottom
12135	IM	S1	Sed	Day	Sol	Bottom
12136	IM	S1	Sed	Day	Sol	Bottom
12137	IM	S1	Sed	Day	Sol	Bottom
1214	FC	S6	Mob	Day	Sol	Bottom
12142	IM	S6	VMob	Day	SmallG	Bottom
1215	FC	S6	Mob	Day	Sol	Bottom
1216	FC	S6	Mob	Day	Sol	Bottom
1217	PK	S4	Mob	Day	MedG	High
12174	PK	S3	Sed	Both	MedG	Low
1218	FC	S4	Sed	Day	Sol	Bottom
1219	OM	S4	Mob	Day	SmallG	Low
1220	IM	S3	Mob	Day	MedG	Low
1221	IM	S5	Mob	Day	MedG	Low
1222	IM	S5	Mob	Day	MedG	Low
12227	PK	S3	Mob	Day	MedG	Low
12229	OM	S4	VMob	Day	MedG	Bottom
12230	HM	S5	VMob	Day	LargeG	Bottom
12234	HM	S3	VMob	Day	MedG	Bottom
12235	PK	S4	VMob	Day	SmallG	High
1224	IM	S3	Mob	Day	MedG	Low
1225	IM	S4	Mob	Day	MedG	Low
12259	PK	S2	Sed	Day	SmallG	Low
1226	IM	S5	Mob	Day	MedG	Low
12263	IM	S3	Sed	Day	Sol	Low
1227	IM	S4	Mob	Day	MedG	Low
12274	IS	S3	Sed	Day	Pair	Bottom
1228	IM	S4	Mob	Day	MedG	Low
12287	IS	S2	Sed	Day	Pair	Bottom
1229	IM	S4	Mob	Day	MedG	Low
12296	IS	S2	Sed	Day	Pair	Bottom
1230	OM	S4	Mob	Day	SmallG	Low
12300	IM	S3	Sed	Day	Pair	Bottom
12309	IM	S3	Sed	Day	MedG	Low
1231	IM	S4	Mob	Day	SmallG	Low
12310	IM	S3	Mob	Day	MedG	Bottom
12339	IM	S2	Sed	Day	Sol	Bottom
1234	IM	S4	Mob	Day	SmallG	Low
12347	IM	S1	Sed	Day	Sol	Bottom
1235	FC	S6	VMob	Night	SmallG	High
12350	IM	S6	VMob	Day	Pair	Low
12357	IM	S3	VMob	Day	Pair	Low
1236	FC	S6	VMob	Night	SmallG	High
1237	FC	S5	VMob	Night	SmallG	High
1240	IS	S4	Mob	Day	Sol	Low
12409	PK	S1	Sed	Night	Sol	Low
1241	IS	S4	Mob	Day	Sol	Low
12416	HD	S3	Sed	Day	Sol	Low
12417	OM	S2	Sed	Day	Sol	Low
12418	PK	S3	Sed	Day	LargeG	Low
12419	PK	S2	Mob	Day	LargeG	High
1242	IS	S4	Mob	Day	Sol	Low
12422	PK	S2	Sed	Day	MedG	Low
12423	PK	S2	Sed	Day	MedG	Low
12424	PK	S1	Sed	Day	MedG	Low
12425	PK	S3	Sed	Day	MedG	Low
12427	PK	S3	Sed	Day	MedG	Low
12428	PK	S2	Sed	Day	MedG	Low
12429	PK	S2	Sed	Day	MedG	Low
12430	PK	S2	Mob	Day	LargeG	High
12431	PK	S3	Sed	Day	MedG	Low
12432	PK	S1	Sed	Day	MedG	Low
12433	PK	S2	Sed	Day	MedG	Low
12434	PK	S2	Sed	Day	MedG	Low
12436	PK	S2	Sed	Day	MedG	Low
12437	OM	S2	Sed	Day	SmallG	Bottom
12438	OM	S2	Sed	Day	SmallG	Bottom
12439	OM	S2	Sed	Day	SmallG	Bottom
1244	IM	S4	Mob	Day	SmallG	Bottom
12440	IM	S2	Sed	Day	Sol	Bottom
12441	IM	S2	Sed	Day	Sol	Bottom
12442	OM	S1	Sed	Day	Sol	Bottom
12443	IM	S1	Sed	Day	SmallG	Bottom
12444	IM	S1	Sed	Day	SmallG	Bottom
12445	IM	S1	Sed	Day	Sol	Bottom
12446	IM	S1	Sed	Day	Sol	Bottom
12447	PK	S2	Sed	Day	SmallG	Bottom
12448	PK	S2	Sed	Day	SmallG	Bottom
12449	OM	S1	Sed	Day	SmallG	Bottom
1245	IM	S4	Mob	Day	SmallG	Bottom
12450	OM	S1	Sed	Day	MedG	Bottom
12451	OM	S2	Sed	Day	SmallG	Bottom
12453	IM	S3	Sed	Day	Sol	Bottom
12455	IM	S4	Sed	Day	Sol	Bottom
12456	HD	S3	Sed	Day	Sol	Low
12457	OM	S2	Sed	Day	SmallG	Bottom
12458	PK	S2	Sed	Day	LargeG	Low
12459	PK	S2	Sed	Day	LargeG	Low
1246	OM	S1	Sed	Day	Sol	Bottom
12460	PK	S2	Sed	Day	LargeG	Low
12461	PK	S2	Sed	Day	LargeG	Low
12462	PK	S2	Sed	Day	LargeG	Low
12463	PK	S2	Sed	Day	LargeG	Low
12464	PK	S1	Sed	Day	LargeG	Low
12465	HD	S3	Sed	Day	Sol	Bottom
12466	OM	S4	Sed	Day	SmallG	Bottom
12467	HD	S2	Sed	Day	Sol	Bottom
12468	HD	S3	Sed	Day	Sol	Bottom
12469	HD	S3	Sed	Day	Sol	Bottom
12470	HD	S2	Sed	Day	Sol	Bottom
12471	HD	S2	Sed	Day	Sol	Bottom
12474	HD	S3	Sed	Day	Sol	Bottom
12475	OM	S2	Sed	Day	Sol	Bottom
12476	HD	S2	Sed	Day	SmallG	Bottom
12477	PK	S2	Sed	Day	SmallG	Bottom
12478	OM	S1	Sed	Day	SmallG	Bottom
12479	PK	S1	Sed	Day	MedG	Bottom
12480	OM	S2	Sed	Day	SmallG	Bottom
12481	HD	S2	Sed	Day	SmallG	Bottom
12483	PK	S1	Sed	Day	SmallG	Bottom
12484	OM	S2	Sed	Day	SmallG	Bottom
12485	OM	S2	Sed	Day	SmallG	Bottom
12486	PK	S2	Sed	Day	SmallG	Bottom
12487	OM	S2	Sed	Day	SmallG	Bottom
12488	OM	S2	Sed	Day	SmallG	Bottom
12489	PK	S2	Sed	Day	MedG	Bottom
12490	OM	S2	Sed	Day	SmallG	Bottom
12491	OM	S2	Sed	Day	SmallG	Bottom
12493	OM	S2	Sed	Day	SmallG	Bottom
12494	OM	S1	Sed	Day	SmallG	Bottom
12495	OM	S2	Sed	Day	SmallG	Bottom
12496	OM	S2	Sed	Day	SmallG	Bottom
12497	OM	S2	Sed	Day	MedG	Low
12498	OM	S2	Sed	Day	SmallG	Bottom
12499	OM	S2	Sed	Day	SmallG	Bottom
12500	PK	S2	Sed	Day	SmallG	Bottom
12501	OM	S2	Sed	Day	SmallG	Bottom
12503	OM	S2	Sed	Day	SmallG	Bottom
12504	OM	S2	Sed	Day	SmallG	Bottom
12505	OM	S2	Sed	Day	SmallG	Bottom
12506	OM	S2	Sed	Day	SmallG	Bottom
12507	PK	S2	Sed	Day	MedG	Low
12508	OM	S3	Sed	Day	Sol	Low
12509	OM	S3	Sed	Day	SmallG	Bottom
12510	OM	S2	Sed	Day	SmallG	Bottom
12511	OM	S2	Sed	Day	SmallG	Bottom
12512	OM	S2	Sed	Day	SmallG	Bottom
12513	HD	S2	Sed	Day	Sol	Low
12514	OM	S2	Sed	Day	SmallG	Bottom
12515	HD	S2	Sed	Day	Sol	Low
12516	OM	S2	Sed	Day	SmallG	Bottom
12517	OM	S2	Sed	Day	SmallG	Bottom
12518	HD	S2	Sed	Day	Sol	Low
12519	HD	S2	Sed	Day	Sol	Low
12520	HD	S2	Sed	Day	Sol	Low
12521	OM	S2	Sed	Day	SmallG	Bottom
12527	PK	S3	Mob	Day	MedG	Low
12528	IM	S3	Sed	Day	MedG	Bottom
