Order	Family	Genus	Species	Latin_name	Reef_associated
1067	Perciformes	Labridae	Bodianus	rufus	Bodianus_rufus	1
1068	Perciformes	Labridae	Halichoeres	radiatus	Halichoeres_radiatus	1
10684	Perciformes	Clinidae	Clinus	spatulatus	Clinus_spatulatus	1
1070	Perciformes	Lutjanidae	Lutjanus	fulgens	Lutjanus_fulgens	1
10706	Aulopiformes	Synodontidae	Synodus	rubromarmoratus	Synodus_rubromarmoratus	1
10707	Aulopiformes	Synodontidae	Synodus	oculeus	Synodus_oculeus	1
10708	Aulopiformes	Synodontidae	Synodus	macrocephalus	Synodus_macrocephalus	1
1071	Perciformes	Labridae	Lachnolaimus	maximus	Lachnolaimus_maximus	1
10715	Anguilliformes	Muraenidae	Gymnothorax	cribroris	Gymnothorax_cribroris	1
10724	Scorpaeniformes	Tetrarogidae	Coccotropsis	gymnoderma	Coccotropsis_gymnoderma	0
10726	Scorpaeniformes	Synanceiidae	Minous	coccineus	Minous_coccineus	1
10729	Anguilliformes	Congridae	Lumiconger	arafura	Lumiconger_arafura	1
10734	Aulopiformes	Synodontidae	Synodus	sageneus	Synodus_sageneus	1
10742	Perciformes	Pomacentridae	Teixeirichthys	jordani	Teixeirichthys_jordani	1
10743	Perciformes	Serranidae	Giganthias	immaculatus	Giganthias_immaculatus	1
10744	Ophidiiformes	Carapidae	Onuxodon	margaritiferae	Onuxodon_margaritiferae	1
10745	Batrachoidiformes	Batrachoididae	Batrachomoeus	occidentalis	Batrachomoeus_occidentalis	1
10746	Perciformes	Apogonidae	Gymnapogon	japonicus	Gymnapogon_japonicus	1
10747	Batrachoidiformes	Batrachoididae	Batrachomoeus	trispinosus	Batrachomoeus_trispinosus	1
10748	Batrachoidiformes	Batrachoididae	Halophryne	diemensis	Halophryne_diemensis	1
10752	Scorpaeniformes	Synanceiidae	Erosa	erosa	Erosa_erosa	1
10753	Perciformes	Pinguipedidae	Parapercis	multiplicata	Parapercis_multiplicata	1
10757	Scorpaeniformes	Tetrarogidae	Liocranium	praepositum	Liocranium_praepositum	0
10759	Scorpaeniformes	Synanceiidae	Minous	versicolor	Minous_versicolor	1
1077	Perciformes	Lobotidae	Lobotes	surinamensis	Lobotes_surinamensis	0
10771	Perciformes	Serranidae	Serranocirrhitus	latus	Serranocirrhitus_latus	1
10776	Scorpaeniformes	Platycephalidae	Cymbacephalus	nematophthalmus	Cymbacephalus_nematophthalmus	1
10786	Perciformes	Pomacanthidae	Centropyge	aurantia	Centropyge_aurantia	1
1079	Elopiformes	Megalopidae	Megalops	atlanticus	Megalops_atlanticus	0
10793	Perciformes	Glaucosomatidae	Glaucosoma	buergeri	Glaucosoma_buergeri	0
10794	Perciformes	Glaucosomatidae	Glaucosoma	magnificum	Glaucosoma_magnificum	0
10797	Tetraodontiformes	Monacanthidae	Thamnaconus	arenaceus	Thamnaconus_arenaceus	1
10801	Perciformes	Apogonidae	Apogon	albimaculosus	Apogon_albimaculosus	1
1081	Tetraodontiformes	Monacanthidae	Aluterus	schoepfii	Aluterus_schoepfii	1
10817	Perciformes	Ephippidae	Zabidius	novemaculeatus	Zabidius_novemaculeatus	1
10819	Perciformes	Pomacanthidae	Chaetodontoplus	conspicillatus	Chaetodontoplus_conspicillatus	1
1082	Tetraodontiformes	Monacanthidae	Cantherhines	pullus	Cantherhines_pullus	1
10823	Perciformes	Pomacanthidae	Chaetodontoplus	duboulayi	Chaetodontoplus_duboulayi	1
10828	Perciformes	Pomacanthidae	Chaetodontoplus	personifer	Chaetodontoplus_personifer	1
10842	Perciformes	Pomacentridae	Chromis	fumea	Chromis_fumea	1
10848	Perciformes	Labridae	Choerodon	cephalotes	Choerodon_cephalotes	1
10851	Perciformes	Pomacanthidae	Chaetodontoplus	meredithi	Chaetodontoplus_meredithi	1
10853	Perciformes	Labridae	Choerodon	vitta	Choerodon_vitta	1
1086	Mugiliformes	Mugilidae	Mugil	curema	Mugil_curema	1
10867	Perciformes	Pinguipedidae	Parapercis	macrophthalma	Parapercis_macrophthalma	1
10870	Perciformes	Pomacanthidae	Centropyge	eibli	Centropyge_eibli	1
10882	Perciformes	Pomacanthidae	Chaetodontoplus	ballinae	Chaetodontoplus_ballinae	1
10896	Perciformes	Pomacanthidae	Genicanthus	semicinctus	Genicanthus_semicinctus	1
10958	Perciformes	Pomacanthidae	Centropyge	aurantonotus	Centropyge_aurantonotus	1
1097	Anguilliformes	Muraenidae	Channomuraena	vittata	Channomuraena_vittata	1
10974	Perciformes	Pomacanthidae	Centropyge	flavipectoralis	Centropyge_flavipectoralis	1
1098	Anguilliformes	Muraenidae	Enchelycore	nigricans	Enchelycore_nigricans	1
10982	Perciformes	Pomacanthidae	Centropyge	hotumatua	Centropyge_hotumatua	1
10986	Perciformes	Chaetodontidae	Prognathodes	guyanensis	Prognathodes_guyanensis	1
1099	Anguilliformes	Muraenidae	Gymnothorax	ocellatus	Gymnothorax_ocellatus	1
10990	Perciformes	Pomacanthidae	Centropyge	interruptus	Centropyge_interruptus	1
10994	Perciformes	Mullidae	Parupeneus	forsskali	Parupeneus_forsskali	1
10997	Perciformes	Pomacanthidae	Centropyge	joculator	Centropyge_joculator	1
10999	Tetraodontiformes	Monacanthidae	Eubalichthys	caeruleoguttatus	Eubalichthys_caeruleoguttatus	1
11000	Perciformes	Pomacanthidae	Centropyge	multicolor	Centropyge_multicolor	1
1102	Perciformes	Gobiidae	Istigobius	hoshinonis	Istigobius_hoshinonis	1
1103	Anguilliformes	Muraenidae	Gymnothorax	miliaris	Gymnothorax_miliaris	1
1104	Anguilliformes	Ophichthidae	Ophichthus	gomesii	Ophichthus_gomesii	1
1105	Anguilliformes	Ophichthidae	Ophichthus	ophis	Ophichthus_ophis	1
1107	Tetraodontiformes	Ostraciidae	Lactophrys	trigonus	Lactophrys_trigonus	1
1109	Tetraodontiformes	Ostraciidae	Lactophrys	triqueter	Lactophrys_triqueter	1
111	Perciformes	Scombridae	Rastrelliger	kanagurta	Rastrelliger_kanagurta	0
11100	Perciformes	Pomacanthidae	Centropyge	nigriocella	Centropyge_nigriocella	1
11106	Perciformes	Pomacanthidae	Centropyge	resplendens	Centropyge_resplendens	1
1111	Perciformes	Polynemidae	Polydactylus	oligodon	Polydactylus_oligodon	0
11111	Perciformes	Pomacanthidae	Centropyge	shepardi	Centropyge_shepardi	1
11113	Lophiiformes	Antennariidae	Antennarius	biocellatus	Antennarius_biocellatus	1
11116	Perciformes	Pomacanthidae	Chaetodontoplus	caeruleopunctatus	Chaetodontoplus_caeruleopunctatus	1
11119	Perciformes	Pomacanthidae	Chaetodontoplus	chrysocephalus	Chaetodontoplus_chrysocephalus	1
1112	Perciformes	Polynemidae	Polydactylus	virginicus	Polydactylus_virginicus	0
11124	Perciformes	Pomacanthidae	Chaetodontoplus	septentrionalis	Chaetodontoplus_septentrionalis	1
11132	Perciformes	Pomacanthidae	Genicanthus	caudovittatus	Genicanthus_caudovittatus	1
11144	Lophiiformes	Antennariidae	Antennarius	analis	Antennarius_analis	1
11150	Lophiiformes	Antennariidae	Antennatus	tuberosus	Antennatus_tuberosus	1
11153	Perciformes	Pomacanthidae	Genicanthus	semifasciatus	Genicanthus_semifasciatus	1
11158	Perciformes	Pomacanthidae	Genicanthus	spinus	Genicanthus_spinus	1
11163	Perciformes	Pomacanthidae	Holacanthus	africanus	Holacanthus_africanus	1
1117	Perciformes	Pomacanthidae	Pomacanthus	arcuatus	Pomacanthus_arcuatus	1
11170	Perciformes	Gobiidae	Eviota	smaragdus	Eviota_smaragdus	1
11172	Perciformes	Pomacanthidae	Holacanthus	clarionensis	Holacanthus_clarionensis	1
11174	Perciformes	Gobiidae	Gladiogobius	ensifer	Gladiogobius_ensifer	1
11177	Perciformes	Pomacanthidae	Holacanthus	limbaughi	Holacanthus_limbaughi	1
1118	Perciformes	Pomacanthidae	Pomacanthus	paru	Pomacanthus_paru	1
11189	Perciformes	Pomacanthidae	Centropyge	venustus	Centropyge_venustus	1
